Match_ID,Team,Shooter_Foot,Keeper_Dive,Kick_Placement,Is_Goal,Kick_Number,Shooter_Name
22,URU,R,L,2.0,0,7.0,Unknown Shooter
22,GHA,R,R,9.0,0,8.0,Unknown Shooter
22,URU,L,L,5.0,1,9.0,Unknown Shooter
22,GHA,,Unknown,,0,10.0,Unknown Shooter
23,BRA,R,R,4.0,1,1.0,Unknown Shooter
23,CHI,R,C,5.0,0,2.0,Unknown Shooter
23,BRA,R,C,7.0,0,3.0,Unknown Shooter
23,CHI,R,L,7.0,0,4.0,Unknown Shooter
23,BRA,L,R,6.0,1,5.0,Unknown Shooter
23,CHI,R,C,3.0,1,6.0,Unknown Shooter
23,BRA,L,R,8.0,0,7.0,Unknown Shooter
23,CHI,R,R,8.0,1,8.0,Unknown Shooter
23,BRA,R,C,7.0,1,9.0,Unknown Shooter
23,CHI,R,R,6.0,0,10.0,Unknown Shooter
24,CRA,R,L,2.0,1,1.0,Unknown Shooter
24,GRE,L,C,4.0,1,2.0,Unknown Shooter
24,CRA,L,L,3.0,1,3.0,Unknown Shooter
24,GRE,R,L,9.0,1,4.0,Unknown Shooter
24,CRA,R,L,5.0,1,5.0,Unknown Shooter
24,GRE,L,R,3.0,1,6.0,Unknown Shooter
24,CRA,L,C,7.0,1,7.0,Unknown Shooter
24,GRE,R,L,4.0,0,8.0,Unknown Shooter
24,CRA,R,L,1.0,1,9.0,Unknown Shooter
24,GRE,,Unknown,,0,10.0,Unknown Shooter
25,CRA,R,R,9.0,1,1.0,Unknown Shooter
25,HOL,L,R,9.0,1,2.0,Unknown Shooter
25,CRA,L,R,9.0,0,3.0,Unknown Shooter
25,HOL,L,R,1.0,1,4.0,Unknown Shooter
25,CRA,R,R,6.0,1,5.0,Unknown Shooter
25,HOL,R,R,4.0,1,6.0,Unknown Shooter
25,CRA,R,L,1.0,1,7.0,Unknown Shooter
25,HOL,R,L,7.0,1,8.0,Unknown Shooter
25,CRA,R,R,9.0,0,9.0,Unknown Shooter
25,HOL,,Unknown,,0,10.0,Unknown Shooter
26,HOL,R,R,9.0,0,1.0,Unknown Shooter
26,ARG,L,C,4.0,1,2.0,Unknown Shooter
26,HOL,L,L,9.0,1,3.0,Unknown Shooter
26,ARG,R,L,2.0,1,4.0,Unknown Shooter
26,HOL,R,L,4.0,0,5.0,Unknown Shooter
26,ARG,R,L,7.0,1,6.0,Unknown Shooter
26,HOL,R,L,9.0,1,7.0,Unknown Shooter
26,ARG,R,L,4.0,1,8.0,Unknown Shooter
26,HOL,,Unknown,,0,9.0,Unknown Shooter
26,ARG,,Unknown,,0,10.0,Unknown Shooter
27,SPA,R,C,6.0,1,1.0,Unknown Shooter
27,RUS,R,L,4.0,1,2.0,Unknown Shooter
27,SPA,R,R,7.0,1,3.0,Unknown Shooter
27,RUS,R,L,6.0,1,4.0,Unknown Shooter
27,SPA,R,L,7.0,0,5.0,Unknown Shooter
27,RUS,R,L,7.0,1,6.0,Unknown Shooter
27,SPA,R,R,4.0,1,7.0,Unknown Shooter
27,RUS,L,L,8.0,1,8.0,Unknown Shooter
27,SPA,L,L,8.0,0,9.0,Unknown Shooter
27,RUS,,Unknown,,0,10.0,Unknown Shooter
28,DEN,R,L,7.0,0,1.0,Unknown Shooter
28,CRO,R,L,7.0,0,2.0,Unknown Shooter
28,DEN,R,C,3.0,1,3.0,Unknown Shooter
28,CRO,R,C,7.0,1,4.0,Unknown Shooter
28,DEN,R,R,7.0,1,5.0,Unknown Shooter
28,CRO,R,R,8.0,1,6.0,Unknown Shooter
28,DEN,R,L,4.0,0,7.0,Unknown Shooter
28,CRO,L,L,7.0,0,8.0,Unknown Shooter
28,DEN,R,R,8.0,0,9.0,Unknown Shooter
28,CRO,R,C,7.0,1,10.0,Unknown Shooter
29,COL,R,L,5.0,1,1.0,Unknown Shooter
29,ENG,R,L,7.0,1,2.0,Unknown Shooter
29,COL,R,L,1.0,1,3.0,Unknown Shooter
29,ENG,R,L,7.0,1,4.0,Unknown Shooter
29,COL,R,L,9.0,1,5.0,Unknown Shooter
29,ENG,R,R,9.0,0,6.0,Unknown Shooter
29,COL,R,R,3.0,0,7.0,Unknown Shooter
29,ENG,R,L,1.0,1,8.0,Unknown Shooter
29,COL,R,L,4.0,0,9.0,Unknown Shooter
29,ENG,R,L,7.0,1,10.0,Unknown Shooter
30,RUS,R,C,5.0,0,1.0,Unknown Shooter
30,CRO,R,R,6.0,1,2.0,Unknown Shooter
30,RUS,R,C,9.0,1,3.0,Unknown Shooter
30,CRO,R,R,9.0,0,4.0,Unknown Shooter
30,RUS,R,C,7.0,0,5.0,Unknown Shooter
30,CRO,R,L,7.0,1,6.0,Unknown Shooter
30,RUS,R,R,7.0,1,7.0,Unknown Shooter
30,CRO,R,R,4.0,1,8.0,Unknown Shooter
30,RUS,R,R,7.0,1,9.0,Unknown Shooter
30,CRO,R,R,7.0,1,10.0,Unknown Shooter
10,ROM,R,R,9.0,1,2.0,Unknown Shooter
10,ROM,L,L,9.0,1,4.0,Unknown Shooter
10,ROM,R,R,4.0,1,6.0,Unknown Shooter
10,ROM,R,R,5.0,0,8.0,Unknown Shooter
10,ROM,R,R,4.0,1,10.0,Unknown Shooter
10,ROM,R,R,9.0,0,12.0,Unknown Shooter
13,ITA,R,R,2.0,0,10.0,Unknown Shooter
14,NED,L,L,4.0,1,2.0,Unknown Shooter
14,NED,R,R,9.0,1,4.0,Unknown Shooter
14,NED,L,R,6.0,0,6.0,Unknown Shooter
14,NED,R,L,7.0,0,8.0,Unknown Shooter
14,NED,,Unknown,,0,10.0,Unknown Shooter
25,NED,L,R,9.0,1,2.0,Unknown Shooter
25,NED,L,R,1.0,1,4.0,Unknown Shooter
25,NED,R,R,4.0,1,6.0,Unknown Shooter
25,NED,R,L,7.0,1,8.0,Unknown Shooter
25,NED,,Unknown,,0,10.0,Unknown Shooter
26,NED,R,R,9.0,0,1.0,Unknown Shooter
26,NED,L,L,9.0,1,3.0,Unknown Shooter
26,NED,R,L,4.0,0,5.0,Unknown Shooter
26,NED,R,L,9.0,1,7.0,Unknown Shooter
26,NED,,Unknown,,0,9.0,Unknown Shooter
31,JAP,R,R,9.0,0,1.0,Unknown Shooter
31,CRO,R,L,4.0,1,2.0,Unknown Shooter
31,JAP,R,L,7.0,0,3.0,Unknown Shooter
31,CRO,R,L,5.0,1,4.0,Unknown Shooter
31,JAP,R,L,6.0,1,5.0,Unknown Shooter
31,CRO,R,L,4.0,0,6.0,Unknown Shooter
31,JAP,R,L,7.0,0,7.0,Unknown Shooter
31,CRO,R,R,7.0,1,8.0,Unknown Shooter
31,JAP,,Unknown,,0,9.0,Unknown Shooter
31,CRO,,Unknown,,0,10.0,Unknown Shooter
32,MAR,R,L,9.0,1,1.0,Unknown Shooter
32,SPA,L,R,9.0,0,2.0,Unknown Shooter
32,MAR,R,R,5.0,1,3.0,Unknown Shooter
32,SPA,L,R,9.0,0,4.0,Unknown Shooter
32,MAR,R,L,7.0,0,5.0,Unknown Shooter
32,SPA,R,L,7.0,0,6.0,Unknown Shooter
32,MAR,R,L,8.0,1,7.0,Unknown Shooter
32,SPA,,Unknown,,0,8.0,Unknown Shooter
32,MAR,,Unknown,,0,9.0,Unknown Shooter
32,SPA,,Unknown,,0,10.0,Unknown Shooter
33,CRO,R,L,2.0,1,1.0,Unknown Shooter
33,BRA,R,R,6.0,0,2.0,Unknown Shooter
33,CRO,L,L,5.0,1,3.0,Unknown Shooter
33,BRA,R,L,7.0,1,4.0,Unknown Shooter
33,CRO,R,R,7.0,1,5.0,Unknown Shooter
33,BRA,R,R,7.0,1,6.0,Unknown Shooter
33,CRO,R,L,7.0,1,7.0,Unknown Shooter
33,BRA,R,R,7.0,0,8.0,Unknown Shooter
33,CRO,,Unknown,,0,9.0,Unknown Shooter
33,BRA,,Unknown,,0,10.0,Unknown Shooter
34,NED,R,L,4.0,0,1.0,Unknown Shooter
34,ARG,L,R,7.0,1,2.0,Unknown Shooter
34,NED,L,R,6.0,0,3.0,Unknown Shooter
34,ARG,R,L,4.0,1,4.0,Unknown Shooter
34,NED,L,C,6.0,1,5.0,Unknown Shooter
34,ARG,R,L,6.0,1,6.0,Unknown Shooter
34,NED,R,R,7.0,1,7.0,Unknown Shooter
34,ARG,R,L,7.0,0,8.0,Unknown Shooter
34,NED,R,R,7.0,1,9.0,Unknown Shooter
34,ARG,R,R,1.0,1,10.0,Unknown Shooter
35,FRA,R,L,4.0,1,1.0,Unknown Shooter
35,ARG,L,L,7.0,1,2.0,Unknown Shooter
35,FRA,R,L,4.0,0,3.0,Unknown Shooter
35,ARG,L,R,8.0,1,4.0,Unknown Shooter
35,FRA,R,L,7.0,0,5.0,Unknown Shooter
35,ARG,R,L,7.0,1,6.0,Unknown Shooter
35,FRA,R,L,2.0,1,7.0,Unknown Shooter
35,ARG,R,R,7.0,1,8.0,Unknown Shooter
35,FRA,,Unknown,,0,9.0,Unknown Shooter
35,ARG,,Unknown,,0,10.0,Unknown Shooter
M-1982-50,DEU,Unknown,Unknown,-1.0,1,,Manfred Kaltz
M-1982-50,DEU,Unknown,Unknown,-1.0,1,,Paul Breitner
M-1982-50,DEU,Unknown,Unknown,-1.0,0,,Uli Stielike
M-1982-50,DEU,Unknown,Unknown,-1.0,1,,Pierre Littbarski
M-1982-50,DEU,Unknown,Unknown,-1.0,1,,Karl-Heinz Rummenigge
M-1982-50,DEU,Unknown,Unknown,-1.0,1,,Horst Hrubesch
M-1982-50,FRA,Unknown,Unknown,-1.0,1,,Alain Giresse
M-1982-50,FRA,Unknown,Unknown,-1.0,1,,Manuel Amoros
M-1982-50,FRA,Unknown,Unknown,-1.0,1,,Dominique Rocheteau
M-1982-50,FRA,Unknown,Unknown,-1.0,0,,Didier Six
M-1982-50,FRA,Unknown,Unknown,-1.0,1,,Michel Platini
M-1982-50,FRA,Unknown,Unknown,-1.0,0,,Maxime Bossis
M-1986-45,BRA,Unknown,Unknown,-1.0,0,,not applicable Sócrates
M-1986-45,BRA,Unknown,Unknown,-1.0,1,,not applicable Alemão
M-1986-45,BRA,Unknown,Unknown,-1.0,1,,not applicable Zico
M-1986-45,BRA,Unknown,Unknown,-1.0,1,,not applicable Branco
M-1986-45,BRA,Unknown,Unknown,-1.0,0,,Júlio César
M-1986-45,FRA,Unknown,Unknown,-1.0,1,,Yannick Stopyra
M-1986-45,FRA,Unknown,Unknown,-1.0,1,,Manuel Amoros
M-1986-45,FRA,Unknown,Unknown,-1.0,1,,Bruno Bellone
M-1986-45,FRA,Unknown,Unknown,-1.0,0,,Michel Platini
M-1986-45,FRA,Unknown,Unknown,-1.0,1,,Luis Fernández
M-1986-46,DEU,Unknown,Unknown,-1.0,1,,Klaus Allofs
M-1986-46,DEU,Unknown,Unknown,-1.0,1,,Andreas Brehme
M-1986-46,DEU,Unknown,Unknown,-1.0,1,,Lothar Matthäus
M-1986-46,DEU,Unknown,Unknown,-1.0,1,,Pierre Littbarski
M-1986-46,MEX,Unknown,Unknown,-1.0,1,,Manuel Negrete
M-1986-46,MEX,Unknown,Unknown,-1.0,0,,Fernando Quirarte
M-1986-46,MEX,Unknown,Unknown,-1.0,0,,Raúl Servín
M-1986-48,ESP,Unknown,Unknown,-1.0,1,,Juan Antonio Señor
M-1986-48,ESP,Unknown,Unknown,-1.0,0,,not applicable Eloy
M-1986-48,ESP,Unknown,Unknown,-1.0,1,,not applicable Chendo
M-1986-48,ESP,Unknown,Unknown,-1.0,1,,Emilio Butragueño
M-1986-48,ESP,Unknown,Unknown,-1.0,1,,not applicable Víctor
M-1986-48,BEL,Unknown,Unknown,-1.0,1,,Nico Claesen
M-1986-48,BEL,Unknown,Unknown,-1.0,1,,Enzo Scifo
M-1986-48,BEL,Unknown,Unknown,-1.0,1,,Hugo Broos
M-1986-48,BEL,Unknown,Unknown,-1.0,1,,Patrick Vervoort
M-1986-48,BEL,Unknown,Unknown,-1.0,1,,Leo Van Der Elst
M-1990-41,IRL,Unknown,Unknown,-1.0,1,,Kevin Sheedy
M-1990-41,IRL,Unknown,Unknown,-1.0,1,,Ray Houghton
M-1990-41,IRL,Unknown,Unknown,-1.0,1,,Andy Townsend
M-1990-41,IRL,Unknown,Unknown,-1.0,1,,Tony Cascarino
